policy,n_episodes,mean_final_equity,median_final_equity,mean_max_drawdown,median_max_drawdown
ppo,10,1.0020825219365161,1.0506362253348915,0.33457202170480593,0.13578607427053532
buy_hold,10,1.0213895618798756,1.0591748139155195,0.36458290136959254,0.317029292625647
avoid_earnings,10,1.0044791932063524,1.107166403771597,0.33035824564474614,0.31511479949695576
flat,10,1.0,1.0,0.0,0.0
